#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
1,USA,9699295,6767.0,238701.0,60.0,6237575.0,1405.0,3223019.0,17834.0,29244,720.0,150902144.0,454978.0,331669237,North America,34,1389.0,2.0,11/04/2020
2,India,8335273,22326.0,123783.0,133.0,7675269.0,20512.0,536221.0,8944.0,6020,89.0,112998959.0,81609.0,1384641584,Asia,166,11186.0,12.0,11/04/2020
3,Brazil,5567126,,160548.0,,5028216.0,,378362.0,8318.0,26127,753.0,21900000.0,102779.0,213077550,South America,38,1327.0,10.0,11/04/2020
4,Russia,1693454,19768.0,29217.0,389.0,1266931.0,15567.0,397306.0,2300.0,11602,200.0,62446013.0,427841.0,145956088,Europe,86,4996.0,2.0,11/04/2020
5,France,1502763,,38289.0,,120714.0,,1343760.0,3878.0,23005,586.0,16718098.0,255928.0,65323327,Europe,43,1706.0,4.0,11/04/2020
6,Spain,1331756,,36495.0,,,,,2754.0,28480,780.0,18072174.0,386479.0,46761037,Europe,35,1281.0,3.0,11/04/2020
7,Argentina,1195276,,32052.0,,1009278.0,,153946.0,4854.0,26364,707.0,3078312.0,67897.0,45337635,South America,38,1415.0,15.0,11/04/2020
8,Colombia,1099392,,31847.0,,993877.0,,73668.0,2376.0,21528,624.0,5164329.0,101126.0,51068066,South America,46,1604.0,10.0,11/04/2020
9,UK,1073882,,47250.0,,,,,1075.0,15790,695.0,34634393.0,509265.0,68008568,Europe,63,1439.0,2.0,11/04/2020
10,Mexico,938405,5250.0,92593.0,493.0,693227.0,5807.0,152585.0,2838.0,7252,716.0,2425553.0,18745.0,129395356,North America,138,1397.0,53.0,11/04/2020
11,Peru,908902,,34623.0,,832929.0,,41350.0,1023.0,27436,1045.0,4568349.0,137900.0,33128036,South America,36,957.0,7.0,11/04/2020
12,Italy,759829,,39412.0,,302275.0,,418142.0,2225.0,12573,652.0,16285936.0,269496.0,60431034,Europe,80,1533.0,4.0,11/04/2020
13,South Africa,728836,,19539.0,,659259.0,,50038.0,546.0,12236,328.0,4868610.0,81738.0,59563386,Africa,82,3048.0,12.0,11/04/2020
14,Iran,646164,8452.0,36579.0,419.0,500400.0,4927.0,109185.0,5426.0,7660,434.0,5073034.0,60136.0,84359039,Asia,131,2306.0,17.0,11/04/2020
15,Germany,580820,3689.0,10913.0,30.0,371500.0,,198407.0,2388.0,6925,130.0,21882967.0,260896.0,83876235,Europe,144,7686.0,4.0,11/04/2020
16,Chile,515042,840.0,14340.0,21.0,492149.0,1329.0,8553.0,733.0,26864,748.0,4427858.0,230950.0,19172370,South America,37,1337.0,4.0,11/04/2020
17,Iraq,485870,3574.0,11128.0,60.0,417235.0,8479.0,57507.0,430.0,11989,275.0,2931341.0,72332.0,40526039,Asia,83,3642.0,14.0,11/04/2020
18,Belgium,453310,5955.0,12126.0,268.0,26661.0,662.0,414523.0,1351.0,39055,1045.0,5068561.0,436682.0,11606976,Europe,26,957.0,2.0,11/04/2020
19,Poland,439536,24692.0,6475.0,373.0,168960.0,8974.0,264101.0,1625.0,11618,171.0,4963261.0,131191.0,37832261,Europe,86,5843.0,8.0,11/04/2020
20,Indonesia,421731,3356.0,14259.0,113.0,353282.0,3785.0,54190.0,,1536,52.0,4638515.0,16897.0,274511265,Asia,651,19252.0,59.0,11/04/2020
21,Ukraine,420617,9524.0,7731.0,199.0,176404.0,7536.0,236482.0,177.0,9638,177.0,3312549.0,75902.0,43642304,Europe,104,5645.0,13.0,11/04/2020
22,Bangladesh,414164,1517.0,6004.0,21.0,331697.0,1910.0,76463.0,,2506,36.0,2389677.0,14461.0,165250077,Asia,399,27523.0,69.0,11/04/2020
23,Philippines,388137,987.0,7367.0,49.0,349091.0,140.0,31679.0,1483.0,3526,67.0,4902459.0,44536.0,110077417,Asia,284,14942.0,22.0,11/04/2020
24,Netherlands,383523,7633.0,7682.0,106.0,,,,634.0,22366,448.0,3327701.0,194058.0,17147948,Europe,45,2232.0,5.0,11/04/2020
25,Turkey,382118,,10481.0,,328824.0,,42813.0,2386.0,4514,124.0,14410507.0,170239.0,84648891,Asia,222,8076.0,6.0,11/04/2020
26,Czechia,362985,,3913.0,,185180.0,,173892.0,1156.0,33874,365.0,2379128.0,222020.0,10715836,Europe,30,2739.0,5.0,11/04/2020
27,Saudi Arabia,348936,426.0,5471.0,15.0,335594.0,441.0,7871.0,736.0,9970,156.0,8215017.0,234729.0,34997849,Asia,100,6397.0,4.0,11/04/2020
28,Pakistan,337573,1313.0,6867.0,18.0,316060.0,614.0,14646.0,747.0,1518,31.0,4541392.0,20425.0,222340560,Asia,659,32378.0,49.0,11/04/2020
29,Israel,316792,264.0,2592.0,,304418.0,349.0,9782.0,365.0,34443,282.0,4680374.0,508870.0,9197590,Asia,29,3548.0,2.0,11/04/2020
30,Romania,267088,8651.0,7419.0,146.0,186260.0,5085.0,73409.0,1001.0,13916,387.0,3341867.0,174119.0,19192987,Europe,72,2587.0,6.0,11/04/2020
31,Canada,244935,,10279.0,,203509.0,,31147.0,218.0,6470,272.0,9753158.0,257642.0,37855403,North America,155,3683.0,4.0,11/04/2020
32,Morocco,229565,,3900.0,,189909.0,,35756.0,869.0,6194,105.0,3388542.0,91435.0,37059715,Africa,161,9502.0,11.0,11/04/2020
33,Switzerland,192376,10073.0,2500.0,29.0,87100.0,3700.0,102776.0,314.0,22173,288.0,2080775.0,239822.0,8676320,Europe,45,3471.0,4.0,11/04/2020
34,Nepal,182923,3309.0,1034.0,30.0,144978.0,3844.0,36911.0,,6240,35.0,1494122.0,50969.0,29314084,Asia,160,28350.0,20.0,11/04/2020
35,Ecuador,170110,,12698.0,,149048.0,,8364.0,342.0,9592,716.0,549943.0,31011.0,17734009,South America,104,1397.0,32.0,11/04/2020
