#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
1,USA,9194770,73533.0,234000.0,870.0,5962591.0,29379.0,2998179.0,16881.0,27725,706.0,141263324.0,425957.0,331637477,North America,36,1417.0,2.0,10/29/2020
2,India,8088046,49281.0,121131.0,568.0,7371898.0,56947.0,595017.0,8944.0,5842,87.0,106563440.0,76973.0,1384419342,Asia,171,11429.0,13.0,10/29/2020
3,Brazil,5494376,24621.0,158969.0,501.0,4934548.0,,400859.0,8318.0,25789,746.0,21900000.0,102791.0,213052818,South America,39,1340.0,10.0,10/29/2020
4,Russia,1581693,17717.0,27301.0,366.0,1186041.0,14740.0,368351.0,2300.0,10837,187.0,59284119.0,406181.0,145955066,Europe,92,5346.0,2.0,10/29/2020
5,France,1282769,47637.0,36020.0,235.0,115287.0,1310.0,1131462.0,3156.0,19638,551.0,15592956.0,238713.0,65320966,Europe,51,1813.0,4.0,10/29/2020
6,Spain,1238922,23580.0,35639.0,173.0,,,,2404.0,26495,762.0,16690076.0,356925.0,46760741,Europe,38,1312.0,3.0,10/29/2020
7,Argentina,1130533,,30071.0,,931147.0,,169315.0,5037.0,24940,663.0,2915776.0,64322.0,45330843,South America,40,1507.0,16.0,10/29/2020
8,Colombia,1041935,,30753.0,,941874.0,,69308.0,2365.0,20406,602.0,4887294.0,95718.0,51059180,South America,49,1660.0,10.0,10/29/2020
9,UK,965340,23065.0,45955.0,280.0,,,,957.0,14196,676.0,33089838.0,486596.0,68002734,Europe,70,1480.0,2.0,10/29/2020
10,Mexico,906863,5595.0,90309.0,495.0,663639.0,4166.0,152915.0,2838.0,7010,698.0,2344805.0,18124.0,129373163,North America,143,1433.0,55.0,10/29/2020
11,Peru,894928,,34315.0,,816688.0,,43925.0,1060.0,27020,1036.0,4449985.0,134357.0,33120505,South America,37,965.0,7.0,10/29/2020
12,South Africa,721770,2056.0,19164.0,53.0,649935.0,1281.0,52671.0,546.0,12120,322.0,4777609.0,80227.0,59551129,Africa,83,3107.0,12.0,10/29/2020
13,Italy,616595,26831.0,38122.0,217.0,279282.0,3878.0,299191.0,1651.0,10203,631.0,15353490.0,254060.0,60432485,Europe,98,1585.0,4.0,10/29/2020
14,Iran,596941,8293.0,34113.0,399.0,472598.0,4681.0,90230.0,5055.0,7078,404.0,4857392.0,57592.0,84341416,Asia,141,2472.0,17.0,10/29/2020
15,Chile,507050,1520.0,14118.0,86.0,483922.0,1016.0,9010.0,748.0,26451,736.0,4232623.0,220798.0,19169683,South America,38,1358.0,5.0,10/29/2020
16,Germany,498113,18492.0,10435.0,76.0,339200.0,6300.0,148478.0,1696.0,5939,124.0,21882967.0,260910.0,83871855,Europe,168,8038.0,4.0,10/29/2020
17,Iraq,467755,3804.0,10815.0,45.0,394386.0,3376.0,62554.0,460.0,11546,267.0,2833070.0,69933.0,40511207,Asia,87,3746.0,14.0,10/29/2020
18,Bangladesh,404760,1681.0,5886.0,25.0,321281.0,1548.0,77593.0,,2450,36.0,2310589.0,13985.0,165223200,Asia,408,28071.0,72.0,10/29/2020
19,Indonesia,404048,3565.0,13701.0,89.0,329778.0,3985.0,60569.0,,1472,50.0,4463884.0,16264.0,274463879,Asia,679,20032.0,61.0,10/29/2020
20,Philippines,376935,1761.0,7147.0,33.0,329848.0,740.0,39940.0,1483.0,3425,65.0,4719864.0,42887.0,110053505,Asia,292,15399.0,23.0,10/29/2020
21,Turkey,370832,2319.0,10099.0,72.0,320762.0,1581.0,39971.0,1916.0,4382,119.0,13741180.0,162360.0,84634022,Asia,228,8380.0,6.0,10/29/2020
22,Ukraine,370417,7342.0,6868.0,113.0,151632.0,2990.0,211917.0,177.0,8487,157.0,3025148.0,69310.0,43646588,Europe,118,6355.0,14.0,10/29/2020
23,Belgium,368337,21048.0,11170.0,132.0,23969.0,465.0,333198.0,993.0,31736,962.0,4745723.0,408897.0,11606151,Europe,32,1039.0,2.0,10/29/2020
24,Saudi Arabia,346482,435.0,5363.0,15.0,333005.0,455.0,8114.0,776.0,9903,153.0,7945021.0,227072.0,34988954,Asia,101,6524.0,4.0,10/29/2020
25,Pakistan,331108,908.0,6775.0,16.0,312638.0,824.0,11695.0,624.0,1490,30.0,4376604.0,19690.0,222270130,Asia,671,32807.0,51.0,10/29/2020
26,Netherlands,330255,10264.0,7258.0,56.0,,,,572.0,19260,423.0,3327701.0,194065.0,17147328,Europe,52,2363.0,5.0,10/29/2020
27,Poland,319205,20156.0,5149.0,301.0,129267.0,5763.0,184789.0,1203.0,8437,136.0,4575570.0,120941.0,37832937,Europe,119,7348.0,8.0,10/29/2020
28,Israel,313114,564.0,2508.0,14.0,299439.0,1396.0,11167.0,440.0,34043,273.0,4546335.0,494296.0,9197590,Asia,29,3667.0,2.0,10/29/2020
29,Czechia,303984,6971.0,2826.0,151.0,120205.0,832.0,180953.0,1031.0,28369,264.0,2203719.0,205657.0,10715511,Europe,35,3792.0,5.0,10/29/2020
30,Romania,229040,6481.0,6764.0,83.0,163852.0,3997.0,58424.0,868.0,11932,352.0,3169978.0,165145.0,19195080,Europe,84,2838.0,6.0,10/29/2020
31,Canada,227829,2243.0,10068.0,36.0,190661.0,1794.0,27100.0,232.0,6019,266.0,9753158.0,257679.0,37849984,North America,166,3759.0,4.0,10/29/2020
32,Morocco,212038,4320.0,3572.0,66.0,174911.0,3320.0,33555.0,787.0,5723,96.0,3285045.0,88659.0,37052545,Africa,175,10373.0,11.0,10/29/2020
33,Ecuador,166302,1394.0,12622.0,14.0,141759.0,,11921.0,336.0,9380,712.0,537793.0,30333.0,17729614,South America,107,1405.0,33.0,10/29/2020
34,Nepal,164718,2364.0,904.0,17.0,124862.0,3038.0,38952.0,,5621,31.0,1419064.0,48423.0,29305482,Asia,178,32418.0,21.0,10/29/2020
35,Switzerland,145044,9386.0,2200.0,33.0,65100.0,,77744.0,202.0,16719,254.0,1895175.0,218457.0,8675284,Europe,60,3943.0,5.0,10/29/2020
36,Bolivia,141321,197.0,8694.0,22.0,110303.0,534.0,22324.0,71.0,12053,742.0,330975.0,28229.0,11724575,South America,83,1349.0,35.0,10/29/2020
37,Portugal,132616,4224.0,2428.0,33.0,75702.0,1701.0,54486.0,269.0,13018,238.0,3290290.0,322993.0,10186880,Europe,77,4196.0,3.0,10/29/2020
38,Qatar,132150,211.0,231.0,1.0,129124.0,240.0,2795.0,41.0,47065,82.0,970119.0,345508.0,2807805,Asia,21,12155.0,3.0,10/29/2020
39,Panama,131247,,2663.0,,107391.0,,21193.0,119.0,30264,614.0,646325.0,149036.0,4336696,North America,33,1629.0,7.0,10/29/2020
40,UAE,130336,1312.0,488.0,3.0,126147.0,1500.0,3701.0,,13127,49.0,12896833.0,1298883.0,9929172,Asia,76,20347.0,1.0,10/29/2020
41,Dominican Republic,125913,343.0,2234.0,2.0,103944.0,532.0,19735.0,179.0,11569,205.0,582708.0,53541.0,10883299,North America,86,4872.0,19.0,10/29/2020
