#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
1,USA,9305026,90856.0,235096.0,925.0,6015965.0,32620.0,3053965.0,16983.0,28057,709.0,142770323.0,430494.0,331642770,North America,36,1411.0,2.0,10/30/2020
2,India,8136166,48120.0,121681.0,550.0,7430911.0,59013.0,583574.0,8944.0,5877,88.0,107728088.0,77813.0,1384456382,Asia,170,11378.0,13.0,10/30/2020
3,Brazil,5516658,20256.0,159477.0,444.0,4954159.0,,403022.0,8318.0,25893,749.0,21900000.0,102789.0,213056940,South America,39,1336.0,10.0,10/30/2020
4,Russia,1599976,18283.0,27656.0,355.0,1200560.0,14519.0,371760.0,2300.0,10962,189.0,59866561.0,410171.0,145955236,Europe,91,5278.0,2.0,10/30/2020
5,France,1331984,49215.0,36565.0,545.0,116533.0,1246.0,1178886.0,3377.0,20391,560.0,15836818.0,242445.0,65321359,Europe,49,1786.0,4.0,10/30/2020
6,Spain,1264517,25595.0,35878.0,239.0,,,,2482.0,27042,767.0,16690076.0,356925.0,46760790,Europe,37,1303.0,3.0,10/30/2020
7,Argentina,1143800,,30442.0,,946134.0,,167224.0,4981.0,25232,672.0,2947344.0,65017.0,45331975,South America,40,1489.0,15.0,10/30/2020
8,Colombia,1063151,10029.0,31135.0,209.0,959433.0,9085.0,72583.0,2283.0,20821,610.0,4992137.0,97769.0,51060661,South America,48,1640.0,10.0,10/30/2020
9,UK,989745,24405.0,46229.0,274.0,,,,975.0,14554,680.0,33470217.0,492182.0,68003706,Europe,69,1471.0,2.0,10/30/2020
10,Mexico,912811,5948.0,90773.0,464.0,668667.0,5028.0,153371.0,2838.0,7055,702.0,2365584.0,18284.0,129376862,North America,142,1425.0,55.0,10/30/2020
11,Peru,900180,2586.0,34411.0,49.0,822316.0,2599.0,43453.0,1055.0,27178,1039.0,4489872.0,135557.0,33121760,South America,37,963.0,7.0,10/30/2020
12,South Africa,723682,1912.0,19230.0,66.0,653052.0,3117.0,51400.0,546.0,12152,323.0,4800823.0,80614.0,59553172,Africa,82,3097.0,12.0,10/30/2020
13,Italy,647674,31084.0,38321.0,199.0,283567.0,4285.0,325786.0,1746.0,10717,634.0,15568575.0,257620.0,60432243,Europe,93,1577.0,4.0,10/30/2020
14,Iran,604952,8011.0,34478.0,365.0,477300.0,4702.0,93174.0,5128.0,7172,409.0,4892704.0,58009.0,84344353,Asia,139,2446.0,17.0,10/30/2020
15,Germany,517720,19367.0,10523.0,88.0,345700.0,6500.0,161497.0,1839.0,6173,125.0,21882967.0,260907.0,83872585,Europe,162,7970.0,4.0,10/30/2020
16,Chile,508571,1521.0,14158.0,40.0,485152.0,1230.0,9261.0,764.0,26529,739.0,4269503.0,222716.0,19170131,South America,38,1354.0,4.0,10/30/2020
