#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
,North America,10877819,63298,347340,1375,7232308,33690,3298171,20569,,,,,,North America,,,,10/28/2020
,Asia,13401164,88335,238631,1400,11869665,86622,1292868,21133,,,,,,Asia,,,,10/28/2020
,South America,9472892,7465,290446,160,8453097,2068,729349,18113,,,,,,South America,,,,10/28/2020
,Europe,9095149,235699,257401,2411,3595907,47406,5241841,18833,,,,,,Europe,,,,10/28/2020
,Africa,1758733,11211,42179,207,1435850,6763,280704,2233,,,,,,Africa,,,,10/28/2020
,Oceania,36585,15,967,2,31776,17,3842,20,,,,,,Australia/Oceania,,,,10/28/2020
,,721,,15,,659,,47,4,,,,,,,,,,10/28/2020
,World,44643063,406023,1176979,5555,32619262,176566,10846822,80905,5727,151.0,,,,All,,,,10/28/2020
1,USA,9090274,52244,232752,668,5904039,26075,2953483,16823,27411,702,136122109,410461,331632184,North America,36,1425,2,10/28/2020
2,India,8034702,45849,120524,470,7309532,52338,604646,8944,5804,87,105487680,76198,1384382302,Asia,172,11486,13,10/28/2020
3,Brazil,5445475,4572,158101,120,4904046,,383328,8318,25560,742,21900000,102793,213048696,South America,39,1348,10,10/28/2020
4,Russia,1563976,16202,26935,346,1171301,12361,365740,2300,10715,185,58730811,402390,145954896,Europe,93,5419,2,10/28/2020
5,France,1235132,36437,35785,244,112716,,1086631,2918,18909,548,15271734,233797,65320572,Europe,53,1825,4,10/28/2020
6,Spain,1194681,19765,35466,168,N/A,N/A,N/A,2368,25549,758,16690076,356925,46760692,Europe,39,1318,3,10/28/2020
7,Argentina,1116609,,29730,,921344,,165535,4952,24633,656,2882949,63600,45329710,South America,41,1525,16,10/28/2020
8,Colombia,1033218,,30565,,932882,,69771,2365,20236,599,4838104,94758,51057699,South America,49,1670,11,10/28/2020
9,UK,942275,24701,45675,310,N/A,N/A,N/A,902,13857,672,32745923,481545,68001761,Europe,72,1489,2,10/28/2020
10,Mexico,901268,5942,89814,643,659473,4355,151981,2838,6967,694,2323014,17956,129369464,North America,144,1440,56,10/28/2020
11,Peru,892497,,34257,,814204,,44036,1048,26948,1034,4427751,133691,33119249,South America,37,967,7,10/28/2020
12,South Africa,719714,1863,19111,58,648654,821,51949,546,12086,321,4752596,79810,59549086,Africa,83,3116,13,10/28/2020
13,Italy,589766,24991,37905,205,275404,3416,276457,1536,9759,627,15152038,250726,60432727,Europe,102,1594,4,10/28/2020
14,Iran,588648,6824,33714,415,467917,4306,87017,5012,6980,400,4821681,57171,84338479,Asia,143,2502,17,10/28/2020
15,Chile,505530,1005,14032,6,482906,1527,8592,745,26372,732,4199217,219060,19169236,South America,38,1366,5,10/28/2020
16,Germany,477203,13784,10347,84,332800,6100,134056,1569,5690,123,20380376,242996,83871125,Europe,176,8106,4,10/28/2020
17,Iraq,463951,4043,10770,46,391010,2929,62171,420,11453,266,2814495,69479,40508735,Asia,87,3761,14,10/28/2020
18,Bangladesh,403079,1493,5861,23,319733,1610,77485,,2440,35,2296321,13899,165218721,Asia,410,28190,72,10/28/2020
19,Indonesia,400483,4029,13612,100,325793,3545,61078,,1459,50,4429567,16139,274455981,Asia,685,20163,62,10/28/2020
20,Philippines,375180,2053,7114,61,329111,540,38955,1483,3409,65,4687646,42596,110049520,Asia,293,15469,23,10/28/2020
21,Turkey,368513,2305,10027,77,319181,1662,39305,1836,4354,118,13606764,160777,84631544,Asia,230,8440,6,10/28/2020
22,Ukraine,363075,7474,6755,165,148642,3306,207678,177,8318,155,3025148,69309,43647302,Europe,120,6461,14,10/28/2020
23,Belgium,347289,13571,11038,139,23504,469,312747,911,29923,951,4672833,402622,11606014,Europe,33,1051,2,10/28/2020
