#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
24,Saudi Arabia,346047,416,5348,19,332550,433,8149,769,9891,153,7889114,225484,34987472,Asia,101,6542,4,10/28/2020
25,Pakistan,330200,825,6759,14,311814,374,11627,611,1486,30,4347155,19559,222258391,Asia,673,32883,51,10/28/2020
26,Netherlands,319991,8102,7202,60,N/A,N/A,N/A,563,18661,420,3327701,194066,17147225,Europe,54,2381,5,10/28/2020
27,Israel,312417,693,2484,1,297881,1225,12052,471,33967,270,4513575,490735,9197590,Asia,29,3703,2,10/28/2020
28,Poland,299049,18820,4849,236,123504,4267,170696,1150,7904,128,4507678,119147,37833050,Europe,127,7802,8,10/28/2020
29,Czechia,292280,8247,2630,83,111963,520,177687,962,27276,245,2164370,201986,10715457,Europe,37,4074,5,10/28/2020
30,Canada,224653,1766,10023,22,188101,1637,26529,232,5935,265,9702468,256346,37849081,North America,168,3776,4,10/28/2020
31,Romania,222559,5343,6681,107,159855,4225,56023,861,11594,348,3133809,163258,19195429,Europe,86,2873,6,10/28/2020
32,Morocco,207718,3985,3506,61,171591,2885,32621,781,5606,95,3262844,88063,37051350,Africa,178,10568,11,10/28/2020
33,Ecuador,164908,1716,12608,20,141759,,10541,353,9302,711,536849,30281,17728882,South America,108,1406,33,10/28/2020
34,Nepal,162354,1954,887,11,121824,2981,39643,,5540,30,1409295,48092,29304049,Asia,180,33037,21,10/28/2020
35,Bolivia,141124,172,8672,14,109769,541,22683,71,12037,740,329963,28144,11724139,South America,83,1352,36,10/28/2020
36,Switzerland,135658,8616,2158,5,65100,2400,68400,190,15638,249,1859945,214400,8675112,Europe,64,4020,5,10/28/2020
37,Qatar,131939,250,230,,128884,267,2825,38,46990,82,960075,341931,2807805,Asia,21,12208,3,10/28/2020
38,Panama,130422,,2650,,106440,,21332,121,30075,611,638429,147222,4336510,North America,33,1636,7,10/28/2020
39,UAE,129024,1400,485,3,124647,2189,3892,,12995,49,12766260,1285775,9928846,Asia,77,20472,1,10/28/2020
40,Portugal,128392,3960,2395,24,74001,1657,51996,262,12604,235,3290290,322990,10186961,Europe,79,4253,3,10/28/2020
41,Dominican Republic,125570,562,2232,6,103412,88,19926,181,11538,205,578567,53162,10883002,North America,87,4876,19,10/28/2020
42,Kuwait,123906,814,763,7,114923,807,8220,107,28877,178,896986,209048,4290815,Asia,35,5624,5,10/28/2020
43,Sweden,117913,,5927,7,N/A,N/A,N/A,56,11652,586,2074744,205021,10119680,Europe,86,1707,5,10/28/2020
44,Oman,114434,614,1208,5,103060,3063,10166,185,22230,235,376700,73179,5147637,Asia,45,4261,14,10/28/2020
45,Kazakhstan,110832,148,1825,,105883,117,3124,221,5880,97,3309626,175587,18848974,Asia,170,10328,6,10/28/2020
46,Egypt,106877,,6222,,99084,,1571,41,1038,60,135000,1311,102949610,Africa,963,16546,763,10/28/2020
47,Costa Rica,106553,1231,1340,11,64996,590,40217,188,20855,262,302168,59143,5109142,North America,48,3813,17,10/28/2020
48,Guatemala,106320,749,3682,17,95752,546,6886,5,5900,204,421237,23374,18021254,North America,170,4894,43,10/28/2020
49,Japan,98116,618,1730,5,90807,659,5579,166,777,14,2633603,20844,126349496,Asia,1288,73034,48,10/28/2020
50,Belarus,95545,936,969,4,84690,453,9886,,10112,103,2418399,255961,9448307,Europe,99,9751,4,10/28/2020
51,Ethiopia,94820,602,1451,6,49886,918,43483,315,818,13,1461344,12613,115863663,Africa,1222,79851,79,10/28/2020
52,Honduras,94623,657,2639,6,38833,297,53151,25,9505,265,225439,22646,9955024,North America,105,3772,44,10/28/2020
53,Venezuela,90400,,780,,84907,,4713,117,3182,27,2078803,73173,28409527,South America,314,36422,14,10/28/2020
54,Austria,89496,3394,1027,22,61684,1376,26785,224,9919,114,2153066,238618,9023068,Europe,101,8786,4,10/28/2020
55,Armenia,82651,2241,1243,21,52508,694,28900,,27875,419,387633,130734,2965048,Asia,36,2385,8,10/28/2020
56,Bahrain,80765,,316,,77421,,3028,24,46957,184,1709902,994131,1719996,Asia,21,5443,1,10/28/2020
57,Lebanon,75845,1850,602,12,37787,990,37456,245,11128,88,1185777,173985,6815405,Asia,90,11321,6,10/28/2020
58,Moldova,73321,861,1729,19,53816,615,17776,803,18190,429,363396,90153,4030891,Europe,55,2331,11,10/28/2020
59,Uzbekistan,66141,260,558,2,63323,279,2260,252,1967,17,1377915,40979,33624745,Asia,508,60259,24,10/28/2020
60,Hungary,65933,2291,1578,43,17098,452,47257,263,6831,163,1017689,105435,9652312,Europe,146,6117,9,10/28/2020
61,Nigeria,62224,,1135,,57916,,3173,7,300,5,614480,2958,207754443,Africa,3339,183044,338,10/28/2020
62,Jordan,61942,3087,700,32,7508,,53734,55,6051,68,1783338,174225,10235814,Asia,165,14623,6,10/28/2020
63,Paraguay,60557,,1347,,40748,,18462,120,8457,188,352711,49256,7160717,South America,118,5316,20,10/28/2020
64,Ireland,59434,667,1896,6,23364,,34174,40,11993,383,1591370,321129,4955552,Europe,83,2614,3,10/28/2020
65,Libya,58874,899,823,11,32962,709,25089,,8531,119,308911,44761,6901290,Africa,117,8386,22,10/28/2020
66,Singapore,57987,7,28,,57890,7,69,,9887,5,3680000,627427,5865227,Asia,101,209472,2,10/28/2020
67,Kyrgyzstan,57276,538,1138,2,48637,414,7501,24,8733,174,406437,61970,6558616,Asia,115,5763,16,10/28/2020
68,Algeria,57026,320,1941,10,39635,191,15450,29,1293,44,,,44103716,Africa,773,22722,,10/28/2020
69,Tunisia,54278,1879,1153,52,5032,,48093,221,4577,97,336380,28366,11858490,Africa,218,10285,35,10/28/2020
70,Azerbaijan,52137,988,699,11,42033,340,9405,,5127,69,1319474,129758,10168697,Asia,195,14547,8,10/28/2020
71,Palestine,51948,420,465,7,44985,541,6498,,10109,90,509783,99199,5138979,Asia,99,11052,10,10/28/2020
72,Kenya,51851,1018,934,,35258,426,15659,36,958,17,672771,12425,54147139,Africa,1044,57973,80,10/28/2020
73,Myanmar,49072,1406,1172,25,28636,1263,19264,,900,21,648247,11888,54527976,Asia,1111,46526,84,10/28/2020
74,Slovakia,48943,2887,184,8,11799,791,36960,82,8963,34,720833,132008,5460505,Europe,112,29677,8,10/28/2020
75,Ghana,47775,,316,,46971,,488,9,1527,10,522285,16698,31279095,Africa,655,98984,60,10/28/2020
76,Bosnia and Herzegovina,44737,1586,1161,36,27087,184,16489,,13664,355,303136,92586,3274102,Europe,73,2820,11,10/28/2020
77,Denmark,43174,1017,715,6,33126,429,9333,18,7445,123,5074769,875136,5798837,Europe,134,8110,1,10/28/2020
78,Bulgaria,42701,,1161,,18943,,22597,145,6161,168,680744,98214,6931202,Europe,162,5970,10,10/28/2020
79,Serbia,42208,1328,803,5,31536,,9869,39,4837,92,1308639,149973,8725817,Europe,207,10867,7,10/28/2020
80,Afghanistan,41145,113,1529,6,34237,20,5379,93,1049,39,121490,3099,39206347,Asia,953,25642,323,10/28/2020
81,Croatia,40999,2378,493,23,27770,930,12736,68,10007,120,466315,113820,4096935,Europe,100,8310,9,10/28/2020
82,Greece,34299,1547,603,10,9989,,23707,108,3296,58,1718450,165135,10406323,Europe,303,17258,6,10/28/2020
83,Georgia,33858,1731,253,15,14829,2197,18776,,8493,63,860418,215824,3986659,Asia,118,15758,5,10/28/2020
84,El Salvador,32925,,957,,28582,,3386,47,5068,147,463545,71349,6496831,North America,197,6789,14,10/28/2020
85,Malaysia,29441,801,246,8,19072,573,10123,94,906,8,2064016,63510,32499277,Asia,1104,132111,16,10/28/2020
86,North Macedonia,28697,870,963,14,19771,292,7963,25,13774,462,240658,115515,2083346,Europe,73,2163,9,10/28/2020
87,Slovenia,28215,2612,278,14,9667,699,18270,99,13571,134,343698,165316,2079031,Europe,74,7479,6,10/28/2020
88,Australia,27554,13,907,2,25225,12,1422,1,1077,35,8649001,337916,25595129,Australia/Oceania,929,28220,3,10/28/2020
89,S. Korea,26146,103,461,1,24073,92,1612,52,510,9,2582960,50366,51283585,Asia,1961,111244,20,10/28/2020
90,Cameroon,21793,,426,,20117,,1250,61,815,16,149000,5569,26754685,Africa,1228,62804,180,10/28/2020
91,Ivory Coast,20488,,122,,20229,,137,,771,5,189052,7111,26584737,Africa,1298,217908,141,10/28/2020
92,Albania,20040,311,493,6,10893,85,8654,20,6966,171,116605,40533,2876769,Europe,144,5835,25,10/28/2020
93,Norway,18920,254,280,,11863,,6777,8,3481,52,1580349,290775,5434955,Europe,287,19411,3,10/28/2020
94,Montenegro,17392,301,282,7,13485,234,3625,26,27690,449,87426,139193,628092,Europe,36,2227,7,10/28/2020
95,Madagascar,16968,,244,,16301,,423,16,608,9,87659,3140,27915720,Africa,1645,114409,318,10/28/2020
96,Zambia,16243,,348,,15481,,414,,876,19,241276,13010,18545925,Africa,1142,53293,77,10/28/2020
97,Luxembourg,15659,775,147,,9681,102,5831,16,24886,234,1030089,1637047,629236,Europe,40,4281,1,10/28/2020
98,Senegal,15582,11,322,,14565,128,695,7,923,19,205068,12146,16883073,Africa,1083,52432,82,10/28/2020
99,Finland,15378,215,354,,11300,1500,3724,10,2774,64,1460811,263517,5543527,Europe,360,15660,4,10/28/2020
100,Sudan,13765,18,837,,6764,,6164,,312,19,,,44173522,Africa,3209,52776,,10/28/2020
101,Namibia,12729,,133,,10878,,1718,2,4981,52,123455,48308,2555587,Africa,201,19215,21,10/28/2020
102,Mozambique,12415,142,91,2,9785,503,2539,,394,3,184284,5845,31530910,Africa,2540,346494,171,10/28/2020
103,Lithuania,12138,776,144,3,4502,173,7492,36,4480,53,975158,359880,2709676,Europe,223,18817,3,10/28/2020
104,Guinea,11819,,71,,10505,,1243,24,892,5,40998,3095,13245004,Africa,1121,186549,323,10/28/2020
105,Uganda,11767,146,106,3,7461,61,4200,,255,2,541422,11721,46193055,Africa,3926,435784,85,10/28/2020
106,Maldives,11591,24,37,,10685,33,869,12,21323,68,150743,277313,543584,Asia,47,14691,4,10/28/2020
107,DRC,11211,20,305,,10509,,397,,124,3,,,90414969,Africa,8065,296443,,10/28/2020
108,Tajikistan,10900,40,82,1,10070,61,748,,1135,9,,,9605580,Asia,881,117141,,10/28/2020
109,French Guiana,10397,,70,,9995,,332,3,34527,232,73598,244410,301125,South America,29,4302,4,10/28/2020
110,Angola,9871,,271,,3647,,5953,45,297,8,85213,2568,33186431,Africa,3362,122459,389,10/28/2020
111,Sri Lanka,9205,335,19,,4075,32,5111,,429,0.9,469286,21886,21442431,Asia,2329,1128549,46,10/28/2020
112,Haiti,9040,,232,,7411,,1397,,790,20,31869,2784,11447240,North America,1266,49342,359,10/28/2020
113,Gabon,8937,,54,,8548,,335,3,3986,24,228427,101869,2242362,Africa,251,41525,10,10/28/2020
114,Jamaica,8851,64,198,2,4379,32,4274,4,2985,67,93886,31661,2965367,North America,335,14977,32,10/28/2020
115,Cabo Verde,8548,76,94,,7701,102,753,23,15321,168,87480,156793,557933,Africa,65,5935,6,10/28/2020
116,Zimbabwe,8315,,242,,7804,,269,,557,16,163656,10960,14932298,Africa,1796,61704,91,10/28/2020
117,Mauritania,7680,,163,,7392,,125,3,1638,35,86331,18415,4688203,Africa,610,28762,54,10/28/2020
118,Guadeloupe,7474,,115,,2199,,5160,35,18678,287,65030,162516,400146,North America,54,3480,6,10/28/2020
119,Cuba,6727,49,128,,6107,56,492,3,594,11,808077,71357,11324356,North America,1683,88472,14,10/28/2020
120,Bahamas,6502,,136,,4088,,2278,8,16483,345,34504,87472,394457,North America,61,2900,11,10/28/2020
121,French Polynesia,6431,,26,,4090,,2315,19,22851,92,26355,93645,281435,Australia/Oceania,44,10824,11,10/28/2020
122,Botswana,6283,,21,,4438,,1824,1,2655,9,289232,122207,2366733,Africa,377,112702,8,10/28/2020
123,Malawi,5904,7,184,1,5300,1,420,4,306,10,60907,3158,19285954,Africa,3267,104815,317,10/28/2020
124,Eswatini,5875,,116,,5524,,235,19,5047,100,45870,39406,1164037,Africa,198,10035,25,10/28/2020
125,Malta,5760,75,56,1,3789,74,1915,,13034,127,326580,738993,441926,Europe,77,7892,1,10/28/2020
126,Trinidad and Tobago,5568,,106,,4186,,1276,14,3974,76,32530,23220,1400963,North America,252,13217,43,10/28/2020
127,Djibouti,5544,,61,,5421,,62,,5585,61,84334,84962,992607,Africa,179,16272,12,10/28/2020
128,Syria,5528,,275,,1821,,3432,,313,16,,,17635124,Asia,3190,64128,,10/28/2020
129,Nicaragua,5514,,156,,4225,,1133,,829,23,,,6649916,North America,1206,42628,,10/28/2020
130,Réunion,5472,111,22,2,4630,,820,10,6098,25,35419,39469,897381,Africa,164,40790,25,10/28/2020
131,Hong Kong,5311,2,105,,5063,10,143,11,707,14,3707664,493260,7516651,Asia,1415,71587,2,10/28/2020
132,Congo,5253,,92,,3887,,1274,,945,17,,,5561027,Africa,1059,60446,,10/28/2020
133,Suriname,5187,,111,,5039,,37,4,8816,189,18439,31341,588330,South America,113,5300,32,10/28/2020
134,Latvia,5144,251,63,,1382,,3699,10,2737,34,437340,232715,1879296,Europe,365,29830,4,10/28/2020
135,Rwanda,5129,45,35,,4851,,243,,393,3,552151,42298,13053697,Africa,2545,372963,24,10/28/2020
136,Equatorial Guinea,5083,,83,,4964,,36,1,3586,59,65408,46147,1417382,Africa,279,17077,22,10/28/2020
137,CAR,4863,,62,,1924,,2877,2,1001,13,32711,6735,4856588,Africa,999,78332,148,10/28/2020
138,Iceland,4671,97,12,1,3598,83,1061,1,13659,35,346162,1012285,341961,Europe,73,28497,1,10/28/2020
139,Estonia,4590,125,73,,3626,65,891,3,3459,55,256522,193335,1326826,Europe,289,18176,5,10/28/2020
140,Andorra,4517,107,72,,3144,115,1301,22,58431,931,137457,1778113,77305,Europe,17,1074,1,10/28/2020
141,Aruba,4437,,36,,4253,,148,4,41501,337,38701,361986,106913,North America,24,2970,3,10/28/2020
142,Mayotte,4366,45,44,,2964,,1358,4,15882,160,13000,47290,274897,Africa,63,6248,21,10/28/2020
143,Guyana,4061,,119,,3030,,912,9,5155,151,18685,23718,787785,South America,194,6620,42,10/28/2020
144,Somalia,3941,,104,,3185,,652,,246,6,,,16032736,Africa,4068,154161,,10/28/2020
145,Cyprus,3817,,25,,1882,,1910,2,3154,21,458164,378584,1210204,Asia,317,48408,3,10/28/2020
146,Thailand,3759,13,59,,3561,10,139,1,54,0.8,977854,13998,69857025,Asia,18584,1184017,71,10/28/2020
147,Gambia,3666,,119,,2666,,881,,1504,49,20561,8433,2438024,Africa,665,20488,119,10/28/2020
148,Martinique,3552,,30,,98,,3424,16,9468,80,50071,133462,375170,North America,106,12506,7,10/28/2020
149,Mali,3530,15,136,,2667,2,727,,173,7,72670,3556,20434115,Africa,5789,150251,281,10/28/2020
150,Belize,3232,32,51,,2045,14,1136,1,8081,128,21802,54514,399931,North America,124,7842,18,10/28/2020
151,Uruguay,2916,,54,,2455,,407,8,838,16,307253,88351,3477646,South America,1193,64401,11,10/28/2020
152,South Sudan,2890,,56,,1290,,1544,,257,5,12044,1072,11235965,Africa,3888,200642,933,10/28/2020
153,Benin,2557,,41,,2330,,186,,209,3,238105,19480,12223360,Africa,4780,298131,51,10/28/2020
154,Burkina Faso,2466,,67,,2181,,218,,117,3,,,21083747,Africa,8550,314683,,10/28/2020
155,Guinea-Bissau,2403,,41,,1818,,544,5,1212,21,,,1982727,Africa,825,48359,,10/28/2020
156,Sierra Leone,2350,,74,,1790,,486,,293,9,,,8028581,Africa,3416,108494,,10/28/2020
157,Togo,2229,,54,,1612,,563,,267,6,114964,13784,8340170,Africa,3742,154448,73,10/28/2020
158,Yemen,2060,,599,,1364,,97,,69,20,,,30034410,Asia,14580,50141,,10/28/2020
159,Lesotho,1947,,43,,975,,929,,907,20,22451,10453,2147742,Africa,1103,49947,96,10/28/2020
160,New Zealand,1943,2,25,,1852,4,66,,388,5,1075827,215075,5002100,Australia/Oceania,2574,200084,5,10/28/2020
161,Chad,1468,8,97,1,1306,16,65,,89,6,,,16573994,Africa,11290,170866,,10/28/2020
162,Liberia,1419,,82,,1278,,59,2,278,16,30332,5953,5095323,Africa,3591,62138,168,10/28/2020
163,Niger,1218,,69,,1132,,17,9,50,3,36531,1492,24478949,Africa,20098,354767,670,10/28/2020
164,Vietnam,1173,1,35,,1062,,76,,12,0.4,1246480,12769,97621490,Asia,83224,2789185,78,10/28/2020
165,Sao Tome and Principe,941,,15,,902,,24,,4268,68,6094,27643,220457,Africa,234,14697,36,10/28/2020
166,Curaçao,884,,1,,606,,277,4,5380,6,11990,72971,164311,North America,186,164311,14,10/28/2020
167,San Marino,852,,42,,716,,94,3,25093,1237,9582,282205,33954,Europe,40,808,4,10/28/2020
168,Channel Islands,822,,48,,671,,103,2,4714,275,141888,813667,174381,Europe,212,3633,1,10/28/2020
169,Sint Maarten,792,,22,,714,,56,6,18404,511,5961,138522,43033,North America,54,1956,7,10/28/2020
170,Diamond Princess,712,,13,,659,,40,4,,,,,,,,,,10/28/2020
171,Turks and Caicos,703,,6,,689,,8,1,18079,154,4261,109580,38885,North America,55,6481,9,10/28/2020
172,Gibraltar,682,3,,,562,15,120,24,20245,,63760,1892662,33688,Europe,49,,1,10/28/2020
173,Papua New Guinea,588,,7,,546,,35,,65,0.8,29002,3222,9001038,Australia/Oceania,15308,1285863,310,10/28/2020
174,Saint Martin,566,,9,,488,,69,12,14559,231,6072,156185,38877,North America,69,4320,6,10/28/2020
175,Burundi,559,1,1,,511,,47,,47,0.08,49642,4136,12001903,Africa,21470,12001903,242,10/28/2020
176,Taiwan,550,,7,,508,11,35,,23,0.3,101021,4239,23830828,Asia,43329,3404404,236,10/28/2020
177,Comoros,517,,7,,494,,16,,591,8,,,875485,Africa,1693,125069,,10/28/2020
178,Tanzania,509,,21,,183,,305,7,8,0.3,,,60269101,Africa,118407,2869957,,10/28/2020
179,Faeroe Islands,494,,,,478,,16,,10098,,151668,3100137,48923,Europe,99,,0,10/28/2020
180,Eritrea,461,,,,405,,56,,129,,,,3562174,Africa,7727,,,10/28/2020
181,Liechtenstein,450,22,1,,228,18,221,8,11791,26,9155,239886,38164,Europe,85,38164,4,10/28/2020
182,Mauritius,439,,10,,389,,40,,345,8,260973,205094,1272456,Africa,2899,127246,5,10/28/2020
183,Isle of Man,352,,24,,321,,7,,4132,282,15882,186454,85179,Europe,242,3549,5,10/28/2020
184,Bhutan,345,3,,,314,2,31,,446,,168223,217246,774345,Asia,2244,,5,10/28/2020
185,Mongolia,340,,,,312,,28,1,103,,86986,26398,3295182,Asia,9692,,38,10/28/2020
186,Monaco,320,,2,,256,,62,5,8136,51,51953,1320884,39332,Europe,123,19666,1,10/28/2020
187,Cambodia,290,2,,,283,,7,,17,,176769,10526,16793227,Asia,57908,,95,10/28/2020
188,Cayman Islands,239,,1,,218,,20,1,3623,15,46055,698120,65970,North America,276,65970,1,10/28/2020
189,Barbados,233,,7,,217,,9,,810,24,33795,117552,287490,North America,1234,41070,9,10/28/2020
190,Bermuda,194,,9,,175,,10,,3119,145,83853,1348076,62202,North America,321,6911,1,10/28/2020
191,Seychelles,153,,,,149,,4,,1553,,5200,52768,98544,Africa,644,,19,10/28/2020
192,Caribbean Netherlands,150,,3,,126,,21,,5703,114,2890,109878,26302,North America,175,8767,9,10/28/2020
193,Brunei,148,,3,,143,,2,,337,7,66995,152667,438831,Asia,2965,146277,7,10/28/2020
194,Antigua and Barbuda,124,,3,,108,,13,,1263,31,3450,35136,98191,North America,792,32730,28,10/28/2020
195,St. Barth,83,,,,67,,16,,8395,,3526,356630,9887,North America,119,,3,10/28/2020
196,St. Vincent Grenadines,74,,,,69,,5,,666,,6790,61141,111055,North America,1501,,16,10/28/2020
197,British Virgin Islands,71,,1,,70,,0,,2344,33,5193,171409,30296,North America,427,30296,6,10/28/2020
198,Saint Lucia,67,2,,,27,,40,,364,,10617,57732,183900,North America,2745,,17,10/28/2020
199,Macao,46,,,,46,,0,,71,,4238,6498,652177,Asia,14178,,154,10/28/2020
200,Dominica,38,,,,29,,9,,527,,4268,59242,72044,North America,1896,,17,10/28/2020
201,Fiji,33,,2,,31,1,0,,37,2,12527,13941,898548,Australia/Oceania,27229,449274,72,10/28/2020
202,Timor-Leste,30,,,,29,,1,,23,,10890,8210,1326447,Asia,44215,,122,10/28/2020
203,Grenada,28,,,,24,,4,,248,,6252,55479,112692,North America,4025,,18,10/28/2020
204,Vatican City,27,,,,15,,12,,33666,,,,802,Europe,30,,,10/28/2020
205,New Caledonia,27,,,,27,,0,,94,,15180,53006,286384,Australia/Oceania,10607,,19,10/28/2020
206,Laos,24,,,,22,,2,,3,,64567,8833,7309414,Asia,304559,,113,10/28/2020
207,Saint Kitts and Nevis,19,,,,19,,0,,356,,2933,55006,53321,North America,2806,,18,10/28/2020
208,Greenland,17,,,,16,,1,,299,,10273,180856,56802,North America,3341,,6,10/28/2020
209,Saint Pierre Miquelon,16,,,,12,,4,,2766,,2222,384097,5785,North America,362,,3,10/28/2020
210,Montserrat,13,,1,,12,,0,,2604,200,483,96735,4993,North America,384,4993,10,10/28/2020
211,Falkland Islands,13,,,,13,,0,,3702,,2682,763667,3512,South America,270,,1,10/28/2020
212,Western Sahara,10,,1,,8,,1,,17,2,,,601982,Africa,60198,601982,,10/28/2020
213,MS Zaandam,9,,2,,,,7,,,,,,,,,,,10/28/2020
214,Solomon Islands,8,,,,4,,4,,12,,97,140,692210,Australia/Oceania,86526,,7136,10/28/2020
215,Anguilla,3,,,,3,,0,,199,,1329,88329,15046,North America,5015,,11,10/28/2020
216,Wallis and Futuna,1,,,,1,,0,,90,,48,4296,11173,Australia/Oceania,11173,,233,10/28/2020
217,China,85868,42,4634,,80936,8,298,4,60,3,160000000,111163,1439323776,Asia,16762,310601,9,10/28/2020
,Total:,10877819,63298,347340,1375,7232308,33690,3298171,20569,,,,,,North America,,,,10/28/2020
,Total:,13401164,88335,238631,1400,11869665,86622,1292868,21133,,,,,,Asia,,,,10/28/2020
,Total:,9472892,7465,290446,160,8453097,2068,729349,18113,,,,,,South America,,,,10/28/2020
,Total:,9095149,235699,257401,2411,3595907,47406,5241841,18833,,,,,,Europe,,,,10/28/2020
,Total:,1758733,11211,42179,207,1435850,6763,280704,2233,,,,,,Africa,,,,10/28/2020
,Total:,36585,15,967,2,31776,17,3842,20,,,,,,Australia/Oceania,,,,10/28/2020
,Total:,721,,15,,659,,47,4,,,,,,,,,,10/28/2020
,Total:,44643063,406023,1176979,5555,32619262,176566,10846822,80905,5727.3,151.0,,,,All,,,,10/28/2020
