#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
1,USA,10060464,1878.0,242256.0,26.0,6392329.0,1121.0,3425879.0,18303.0,30331,730.0,155151047.0,467766.0,331685117,North America,33,1369.0,2.0,11/07/2020
2,India,8462080,1195.0,125605.0,,7819886.0,1328.0,516589.0,8944.0,6111,91.0,116542304.0,84161.0,1384752705,Asia,164,11025.0,12.0,11/07/2020
3,Brazil,5632505,,162035.0,,5064344.0,,406126.0,8318.0,26433,760.0,21900000.0,102774.0,213089916,South America,38,1315.0,10.0,11/07/2020
4,Russia,1753836,20396.0,30251.0,364.0,1312927.0,16803.0,410658.0,2300.0,12016,207.0,64000000.0,438487.0,145956600,Europe,83,4825.0,2.0,11/07/2020
5,France,1661853,,39865.0,,126329.0,,1495659.0,4331.0,25440,610.0,17367177.0,265860.0,65324507,Europe,39,1639.0,4.0,11/07/2020
6,Spain,1388411,,38833.0,,,,,2863.0,29692,830.0,18072174.0,386478.0,46761185,Europe,34,1204.0,3.0,11/07/2020
7,Argentina,1228814,,33136.0,,1042237.0,,153441.0,4666.0,27102,731.0,3177564.0,70081.0,45341031,South America,37,1368.0,14.0,11/07/2020
8,UK,1146484,,48475.0,,,,,1181.0,16857,713.0,35600586.0,523450.0,68011485,Europe,59,1403.0,2.0,11/07/2020
9,Colombia,1127733,,32405.0,,1020263.0,,75065.0,2376.0,22081,634.0,5320872.0,104183.0,51072509,South America,45,1576.0,10.0,11/07/2020
10,Mexico,955128,5931.0,94323.0,551.0,706267.0,4430.0,154538.0,2800.0,7381,729.0,2485143.0,19204.0,129406452,North America,135,1372.0,52.0,11/07/2020
11,Peru,917503,,34783.0,,838783.0,,43937.0,1022.0,27693,1050.0,4635248.0,139903.0,33131802,South America,36,953.0,7.0,11/07/2020
12,Italy,862681,,40638.0,,322925.0,,499118.0,2515.0,14276,672.0,16951896.0,280520.0,60430308,Europe,70,1487.0,4.0,11/07/2020
13,South Africa,734175,,19749.0,,675593.0,,38833.0,546.0,12325,332.0,4940719.0,82940.0,59569515,Africa,81,3016.0,12.0,11/07/2020
